"시점","항공사별",여객 (명)
"시점","항공사별",계
"2015.12","대한항공",2613318
"2015.12","티웨이항공",518369
"2015.12","외항사",1880185
"2016.01","아시아나항공",2053251
"2016.01","제주항공",996536
"2016.01","진에어",811161
"2016.01","대한항공",2855528
"2016.01","티웨이항공",558293
"2016.01","외항사",2136581
"2016.02","아시아나항공",2019950
"2016.02","제주항공",994401
"2016.02","진에어",821326
"2016.02","대한항공",2776524
"2016.02","티웨이항공",561543
"2016.02","외항사",2054000
"2016.03","아시아나항공",1935622
"2016.03","제주항공",1024173
"2016.03","진에어",822980
"2016.03","대한항공",2647772
"2016.03","티웨이항공",523542
"2016.03","외항사",1940793
"2016.04","아시아나항공",2072077
"2016.04","제주항공",1059631
"2016.04","진에어",978644
"2016.04","대한항공",2953551
"2016.04","티웨이항공",630708
"2016.04","외항사",2085296
"2016.05","아시아나항공",2096499
"2016.05","제주항공",1064853
"2016.05","진에어",993377
"2016.05","대한항공",2950939
"2016.05","티웨이항공",656924
"2016.05","외항사",2100618
"2016.06","아시아나항공",2151915
"2016.06","제주항공",1097871
"2016.06","진에어",991118
"2016.06","대한항공",3028373
"2016.06","티웨이항공",632098
"2016.06","외항사",2186636
"2016.07","아시아나항공",2255507
"2016.07","제주항공",1200882
"2016.07","진에어",1049371
"2016.07","대한항공",3166971
"2016.07","티웨이항공",688533
"2016.07","외항사",2458017
"2016.08","아시아나항공",2239326
"2016.08","제주항공",1291586
"2016.08","진에어",1152862
"2016.08","대한항공",3317382
"2016.08","티웨이항공",749887
"2016.08","외항사",2522884
"2016.09","아시아나항공",1967737
"2016.09","제주항공",1155110
"2016.09","진에어",1057792
"2016.09","대한항공",2932623
"2016.09","티웨이항공",665535
"2016.09","외항사",2132218
"2016.10","아시아나항공",2173777
"2016.10","제주항공",1193301
"2016.10","진에어",1159385
"2016.10","대한항공",3136679
"2016.10","티웨이항공",735327
"2016.10","외항사",2199411
"2016.11","아시아나항공",2049555
"2016.11","제주항공",1140046
"2016.11","진에어",979416
"2016.11","대한항공",2738136
"2016.11","티웨이항공",636831
"2016.11","외항사",1970714
"2016.12","아시아나항공",2002552
"2016.12","제주항공",1162397
"2016.12","진에어",967650
"2016.12","대한항공",2711836
"2016.12","티웨이항공",692490
"2016.12","외항사",2146747
"2017.01","아시아나항공",2150562
"2017.01","제주항공",1169280
"2017.01","진에어",991637
"2017.01","대한항공",3003143
"2017.01","티웨이항공",764800
"2017.01","외항사",2367631
"2017.02","아시아나항공",1961918
"2017.02","제주항공",1098664
"2017.02","진에어",909486
"2017.02","대한항공",2764226
"2017.02","티웨이항공",714279
"2017.02","외항사",2214863
"2017.03","아시아나항공",1933284
"2017.03","제주항공",1205789
"2017.03","진에어",960649
"2017.03","대한항공",2731855
"2017.03","티웨이항공",702499
"2017.03","외항사",1977451
"2017.04","아시아나항공",2055706
"2017.04","제주항공",1228046
"2017.04","진에어",1130074
"2017.04","대한항공",2993633
"2017.04","티웨이항공",736446
"2017.04","외항사",1877019
"2017.05","아시아나항공",2078206
"2017.05","제주항공",1298005
"2017.05","진에어",1122634
"2017.05","대한항공",2981116
"2017.05","티웨이항공",748088
"2017.05","외항사",1881367
"2017.06","아시아나항공",2178997
"2017.06","제주항공",1265289
"2017.06","진에어",1049111
"2017.06","대한항공",2983804
"2017.06","티웨이항공",755124
"2017.06","외항사",1871434
"2017.07","아시아나항공",2262990
"2017.07","제주항공",1333655
"2017.07","진에어",1078663
"2017.07","대한항공",2994831
"2017.07","티웨이항공",808587
"2017.07","외항사",2030840
"2017.08","아시아나항공",2395346
"2017.08","제주항공",1360263
"2017.08","진에어",1128326
"2017.08","대한항공",3270308
"2017.08","티웨이항공",853410
"2017.08","외항사",2152521
"2017.09","아시아나항공",2176737
"2017.09","제주항공",1332785
"2017.09","진에어",1089440
"2017.09","대한항공",2925779
"2017.09","티웨이항공",780052
"2017.09","외항사",1912573
"2017.10","아시아나항공",2237140
"2017.10","제주항공",1376072
"2017.10","진에어",1093068
"2017.10","대한항공",3023017
"2017.10","티웨이항공",800017
"2017.10","외항사",2106180
"2017.11","아시아나항공",2110220
"2017.11","제주항공",1299520
"2017.11","진에어",964013
"2017.11","대한항공",2820166
"2017.11","티웨이항공",808165
"2017.11","외항사",1979189
"2017.12","아시아나항공",2064840
"2017.12","제주항공",1351073
"2017.12","진에어",994691
"2017.12","대한항공",2795957
"2017.12","티웨이항공",797813
"2017.12","외항사",2142918
"2018.01","아시아나항공",2245944
"2018.01","제주항공",1357442
"2018.01","진에어",976234
"2018.01","대한항공",2892572
"2018.01","티웨이항공",872396
"2018.01","외항사",2320461
